Name,Yelp Alias,SIPS_URL,SIPS_COCKTAILS,SIPS_WINE,SIPS_BEER,SIPS_HALFPRICEDAPPS,RW_URL,RW_DETAILS,RW_DEALS,RW_MENU,RESERVATION_LINK,Address,Latitude,Longitude,Website,Categories,Price,Review_Count,RW_PHOTO,SIPS_PARTICIPANT,RW_PARTICIPANT,Neighborhoods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Smoking,Yelp_Rating,RW_Score,Popularity,Parking,Best_Nights,Payment,Minority_Owned,Good_For,Offers,Options,Vibes,Accessibility,Dogs_Allowed,Packaging,Reservation_Type,Seating,Meal_Types,Music,Alcohol_Options,Amenities,Yelp Rating,Review Count,Phone
Korea Taqueria,korea-taqueria-philadelphia,,,,,,,,,,,"3101 Tasker St, Philadelphia, PA 19145",39.93419647,-75.19604757,https://www.korea-taqueria.com,"['Korean', 'Mexican', 'Food Trucks']",,35.0,,N,N,['Grays Ferry'],Closed,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,,4.2,46.0,33.0,Street Parking,,,,Dinner,"Offers Delivery, Offers Takeout",,,,,,,,,,,,,,
Koreana,koreana-philadelphia-9,,,,,,,,,,https://www.koreanaeat.com/page/reservations-,"37 S 19th St, Rittenhouse Square, Philadelphia, PA 19103",39.952311,-75.171522,https://www.koreanaeat.com,['Korean'],$$,110.0,,N,N,"['Penn Center', 'Rittenhouse Square']",11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:00 PM,Closed,,3.6,34.0,34.0,,,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,Casual,,,,Takes Reservations,Outdoor Seating,,,"Alcohol, Happy Hour","TV, Wi-Fi",,,
Kostas Bar Restaurant,kostas-bar-restaurant-philadelphia,,,,,,,,,,,"15 W Girard Ave, Philadelphia, PA 19123",39.9688598,-75.13496227,,"['Bars', 'Greek']",$$,125.0,,N,N,['Fishtown'],3:00 PM - 2:00 AM,3:00 PM - 2:00 AM,3:00 PM - 2:00 AM,3:00 PM - 2:00 AM,3:00 PM - 2:00 AM,2:00 PM - 2:00 AM,2:00 PM - 2:00 AM,,4.3,48.0,1.0,"Street Parking, Bike Parking",Saturday,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",Vegetarian Options,"Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi",,,
Koto Sushi,koto-sushi-philadelphia,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#koto-sushi,"Participating in lunch, dinner and takeout. Offering indoor seating",$45 DINNER AND $20 LUNCH,https://centercityphila.org/uploads/attachments/clkr0pg5p9tdbm8qdtdpssky8-koto.pdf,https://www.opentable.com/restaurant/profile/995407/reserve?ref=9169,"719 Sansom St, Philadelphia, PA 19106",39.9488864,-75.1532407,http://www.kotosushipa.com,"['Japanese', 'Sushi Bars']",$$,309.0,https://centercityphila.org/uploads/attachments/cl769xlu32ardtvqd8f1xm3pa-koto-sushi.197.68.829.829.full.jpg,N,Y,['Jewelers&#x27; Row'],11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:30 PM,3:30 PM - 9:30 PM,3:30 PM - 9:00 PM,,4.6,55.0,86.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Casual, Moderate Noise",,,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating",Dinner,,"Happy Hour, Beer and Wine Only","TV, Wi-Fi",,,
KPOT Korean BBQ & Hot Pot,kpot-korean-bbq-and-hot-pot-philadelphia-3,,,,,,,,,,,"330 W Oregon Ave, Philadelphia, PA 19148",39.9140093,-75.1544445,https://thekpot.com,"['Korean', 'Hot Pot', 'Barbeque']",$$,185.0,,N,N,,12:00 PM - 10:30 PM,12:00 PM - 10:30 PM,12:00 PM - 10:30 PM,12:00 PM - 10:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 10:30 PM,,4.3,48.0,46.0,Private Lot Parking,,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",,"Trendy, Casual, Loud",Wheelchair Accessible,,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru",,,"Happy Hour, Full Bar",TV,,,
Kraftwork,kraftwork-philadelphia,,,,,,,,,,,"541 E Girard Ave, Philadelphia, PA 19125",39.97151,-75.12735,https://kraftworkbarphilly.com,['Gastropubs'],$$,579.0,,N,N,['Fishtown'],4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,12:00 PM - 11:00 PM,,4.1,46.0,52.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Hipster, Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,,,"Happy Hour, Full Bar","TV, Wi-Fi",,,
Krupa's Tavern,krupas-tavern-philadelphia,,,,,,,,,,,"2701 Brown St, Philadelphia, PA 19130",39.97068,-75.18132,,['Dive Bars'],$,21.0,,N,N,['Fairmount'],3:00 PM - 12:00 AM,3:00 PM - 12:00 AM,3:00 PM - 12:00 AM,3:00 PM - 12:00 AM,3:00 PM - 12:00 AM,3:00 PM - 12:00 AM,1:00 PM - 12:00 AM,,4.7,38.0,28.0,Bike Parking,,,,Dinner,,,"Divey, Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,,Juke Box,Full Bar,"TV, Wi-Fi",,,
Kungfu Hotpot,kungfu-hotpot-philadelphia,,,,,,,,,,,"1008 Cherry St, Fl 3, Philadelphia, PA 19107",39.95435,-75.15656,,"['Hot Pot', 'Seafood', 'Chinese']",$$$,72.0,,N,N,['Chinatown'],2:00 PM - 11:00 PM,2:00 PM - 11:00 PM,2:00 PM - 11:00 PM,2:00 PM - 11:00 PM,2:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,,4.6,71.0,48.0,"Street Parking, Bike Parking",,Credit Cards,"Women-owned, Asian-owned",Dinner,"Offers Delivery, Offers Takeout",,"Trendy, Casual, Moderate Noise",Wheelchair Accessible,,"Plastic-free packaging, Provides reusable tableware, Compostable containers available, Bring your own container allowed",Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru",,,"Alcohol, Happy Hour","TV, Wi-Fi",,,
Kyuramen - Cherry Hill,kyuramen-cherry-hill-cherry-hill,,,,,,,,,,,"1871 NJ-70, Cherry Hill, NJ 08003",39.903494,-74.970993,https://www.kyuramen.com,['Ramen'],$$,424.0,,N,N,,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,,4.5,53.0,43.0,"Street Parking, Bike Parking, Private Lot Parking",,Credit Cards,Women-owned,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options, Soy-Free Options","Trendy, Classy, Intimate, Hipster, Casual, Moderate Noise","Open to All, Wheelchair Accessible",,"Plastic-free packaging, Provides reusable tableware, Compostable containers available",Takes Reservations,"Outdoor Seating, Covered Outdoor Seating","Lunch, Dessert, Dinner",,Alcohol,"TV, Wi-Fi",,,
Kyushu Ramen & Sushi,kyushu-ramen-and-sushi-philadelphia,,,,,,,,,,,"907 S 9th St, Philadelphia, PA 19147",39.93864,-75.15776,https://www.kyushupa.com,"['Ramen', 'Sushi Bars', 'Asian Fusion']",,30.0,,N,N,"['Italian Market', 'Bella Vista']",Closed,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 9:30 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 9:30 PM,,4.6,54.0,38.0,Bike Parking,,,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,"Classy, Casual",Wheelchair Accessible,,"Plastic-free packaging, Provides reusable tableware, Bring your own container allowed",,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru",,,"Alcohol, Happy Hour","TV, Wi-Fi",,,
L'Angolo Ristorante,l-angolo-ristorante-philadelphia-3,,,,,,,,,,,"1415 W Porter St, Philadelphia, PA 19145",39.91962433,-75.17137146,http://www.langolo-restaurant.com/,['Italian'],$$,432.0,,N,N,,Closed,4:00 PM - 8:30 PM,4:00 PM - 9:30 PM,4:00 PM - 9:00 PM,4:00 PM - 10:30 PM,4:00 PM - 4:00 AM,3:00 PM - 8:00 PM,,4.6,55.0,46.0,"Street Parking, Bike Parking, Private Lot Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",Vegetarian Options,"Intimate, Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,"Outdoor Seating, Drive-Thru",,,Alcohol,"TV, Wi-Fi",,,
L'anima,l-anima-philadelphia-2,,,,,,,,,,,"1001 S 17th St, Philadelphia, PA 19146",39.93947008,-75.17119993,https://www.lanimaphilly.com,['Italian'],$$,147.0,,N,N,['Graduate Hospital'],Closed,Closed,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 8:30 PM,,4.2,46.0,40.0,"Street Parking, Bike Parking",,Credit Cards,Women-owned,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegetarian Options,"Trendy, Casual, Moderate Noise","Open to All, Wheelchair Accessible, Gender-neutral restrooms",True,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating",,,Alcohol,"TV, Wi-Fi",,,
La Calaca Feliz,la-calaca-feliz-philadelphia,,,,,,,,,,https://resy.com/cities/frtw/cantina-feliz-fort-washington,"2321 Fairmount Ave, Philadelphia, PA 19130",39.96769,-75.17607,http://www.lacalacafeliz.com,"['Mexican', 'Cocktail Bars']",$$,734.0,,N,N,"['Fairmount', 'Art Museum District']",4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,3:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 9:00 PM,True,4.1,46.0,52.0,"Street Parking, Bike Parking",Tuesday,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegan Options,"Casual, Loud","Wheelchair Accessible, Gender-neutral restrooms",,,"Walk-ins Welcome, Takes Reservations",Outdoor Seating,,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi",,,
La Chinesca,la-chinesca-philadelphia,,,,,,,,,,https://resy.com/cities/pha/la-chinesca,"1036 Spring Garden St, Philadelphia, PA 19123",39.96141391,-75.1560203,https://www.lachinescaphl.com,"['New Mexican Cuisine', 'Bars', 'Chinese']",$$,153.0,,N,N,"['Spring Garden', 'Callowhill']",5:00 PM - 12:00 AM,5:00 PM - 12:00 AM,5:00 PM - 12:00 AM,5:00 PM - 12:00 AM,5:00 PM - 12:00 AM,12:00 PM - 3:00 PM,12:00 PM - 3:00 PM,,3.8,38.0,41.0,Street Parking,Wednesday,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",,"Trendy, Hipster, Casual","Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating",,,"Happy Hour, Full Bar",TV,,,
La Chingonita,la-chingonita-philadelphia,,,,,,,,,,,"413 E Girard Ave, Philadelphia, PA 19125",39.97055,-75.130113,https://lachingonita.com,"['Food Trucks', 'Mexican']",,34.0,,N,N,['Fishtown'],Closed,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,12:00 PM - 8:00 PM,Closed,,4.6,54.0,52.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegan Options,,Wheelchair Accessible,,,,Outdoor Seating,,,"Alcohol, Happy Hour","TV, Wi-Fi",,,
La Famiglia Ristorante,la-famiglia-ristorante-philadelphia,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#la-famiglia-ristorante,Participating in dinner and takeout. Offering indoor and outdoor dining. Closed Sunday and Monday,$45 DINNER,https://centercityphila.org/uploads/attachments/clksc81r39uzpypqdwuvakh4n-lafamiglia.pdf,https://www.opentable.com/restaurant/profile/862/reserve?ref=9169,"8 S Front St, Philadelphia, PA 19106",39.9494313,-75.1423084,http://www.lafamiglia.com,['Italian'],$$$,164.0,https://centercityphila.org/uploads/attachments/cj62hmy7m00sfp7qdx1nn0yw0-la-famiglia-rw.0.0.1200.1200.full.jpg,N,Y,['Old City'],Closed,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,Closed,,3.8,56.0,60.0,"Street Parking, Bike Parking, Private Lot Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",Vegetarian Options,"Classy, Romantic, Upscale, Dressy, Quiet",,,,Takes Reservations,Outdoor Seating,,,Full Bar,"TV, Wi-Fi",,,
La Fontana Della Citta,la-fontana-della-citta-philadelphia,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#la-fontana-della-citta,Participating in lunch and dinner. Offering indoor and outdoor dining and BYOB.,$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/cllawtxhsb4zw0vqdvz5awogj-lafontanadinner.pdf,https://www.opentable.com/restaurant/profile/20362/reserve?ref=9169,"1701 Spruce St, Philadelphia, PA 19103",39.947682,-75.169754,http://www.lafontanadellacitta.com,['Italian'],$$,431.0,https://centercityphila.org/uploads/attachments/cl792igao2g0twgqdde288icj-la-fontana.0.298.1254.1254.full.jpg,N,Y,['Rittenhouse Square'],11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,4:00 PM - 11:00 PM,2:00 PM - 10:00 PM,,2.9,22.0,56.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",Vegetarian Options,"Classy, Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,,,Alcohol,"TV, Wi-Fi",,,
La Llorona Cantina,la-llorona-cantina-philadelphia,,,,,,,,,,https://www.opentable.com/restref/client/?rid=1121143&restref=1121143#,"1551 W Passyunk Ave, Philadelphia, PA 19145",39.9250862,-75.17276265,http://lalloronaphilly.com,"['Mexican', 'Cocktail Bars', 'Breakfast & Brunch']",,66.0,,N,N,,Closed,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 10:00 PM,True,4.2,46.0,46.0,"Street Parking, Bike Parking",,Credit Cards,"Women-owned, Latinx-owned",Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,Trendy,Wheelchair Accessible,True,Bring your own container allowed,"Walk-ins Welcome, Takes Reservations","Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru",,,"Happy Hour, Full Bar","TV, Wi-Fi",,,
La Locanda Del Ghiottone,la-locanda-del-ghiottone-philadelphia,,,,,,,,,,,"2723 E Cumberland St, Philadelphia, PA 19125",39.975074,-75.118359,https://www.ghiottoneitaliano.com,['Italian'],$$,281.0,,N,N,,Closed,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 10:00 PM,,3.9,41.0,31.0,"Street Parking, Bike Parking",,,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Intimate, Casual, Loud",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,,,Alcohol,"TV, Wi-Fi",,,
La Nonna,la-nonna-philadelphia,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#la-nonna,Participating in dinner only. Offering indoor dining and BYOB. Closed Monday.,$45 DINNER,https://centercityphila.org/uploads/attachments/clr9o2xv51zxy3oqdyeanaw1k-la-nonna.pdf,https://www.exploretock.com/ristorantelanonna/,"214 South St, Philadelphia, PA 19147",39.94110845,-75.14623812,https://www.ristorantelanonna.com,"['Italian', 'Comfort Food', 'Pasta Shops']",$$,190.0,https://centercityphila.org/uploads/attachments/cj62hqytr00tpppqde7gqpig2-la-nonna-rw.0.0.1200.1200.full.jpg,N,Y,"['South Street District', 'Society Hill']",Closed,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 9:00 PM,,4.5,52.0,81.0,"Street Parking, Bike Parking",,,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,"Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,,,"Alcohol, Happy Hour","TV, Wi-Fi",,,
La Roma,la-roma-philadelphia,,,,,,,,,,,"2620 E Allegheny Ave, Philadelphia, PA 19134",39.98498841,-75.10349561,http://www.laromaphilly.com,"['American (New)', 'Bars']",,11.0,,N,N,"['Kensington', 'Port Richmond']",9:00 AM - 12:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,,4.9,59.0,25.0,,,,,Dinner,"Offers Delivery, Offers Takeout",,Classy,,,,,,,,,,,,
La Rosa Pizzeria,la-rosa-pizzeria-philadelphia,,,,,,,,,,,"2106 S Broad St, Philadelphia, PA 19145",39.92416,-75.170089,http://larosapizzeriatogo.com,['Pizza'],$,162.0,,N,N,,10:30 AM - 9:30 PM,10:30 AM - 9:30 PM,10:30 AM - 9:30 PM,10:30 AM - 9:30 PM,10:30 AM - 9:30 PM,10:30 AM - 9:30 PM,11:30 AM - 9:00 PM,,4.1,27.0,42.0,"Street Parking, Bike Parking",,,,Dinner,"Offers Delivery, Offers Takeout",Vegetarian Options,"Classy, Divey, Moderate Noise",,,,Takes Reservations,Outdoor Seating,Dinner,,"Alcohol, Happy Hour","TV, Wi-Fi",,,
La Sushi,la-sushi-philadelphia,,,,,,,,,,,"1308 W Girard Ave, Philadelphia, PA 19123",39.9706737,-75.1578547,http://lasushiphilly1.com,"['Latin American', 'Sushi Bars', 'Japanese']",$$,28.0,,N,N,['Avenue of the Arts North'],Closed,Closed,12:15 PM - 9:00 PM,12:15 PM - 9:00 PM,12:15 PM - 10:00 PM,12:15 PM - 10:00 PM,12:15 PM - 9:00 PM,,3.9,40.0,29.0,"Street Parking, Bike Parking",,"Credit Cards, Android Pay, Apple Pay","Women-owned, Latinx-owned",Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Casual, Moderate Noise","Open to All, Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining",,,"Alcohol, Happy Hour","TV, Wi-Fi",,,
La Viola Ovest,la-viola-ovest-philadelphia,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#la-viola-ovest,"Participating in lunch, dinner and takeout. Offering indoor and outdoor dining. BYOB.",$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/clly1pvr0bdz2saqd4xbh5zs6-lavioladinner.pdf,https://www.opentable.com/restaurant/profile/224713/reserve?ref=9169,"252 S 16th St, Philadelphia, PA 19102",39.94789403,-75.16803022,http://laviolaphiladelphia.com,['Italian'],$$,228.0,https://centercityphila.org/uploads/attachments/cll3rd6tfa989wnqdd4rm0gnj-la-viola-west.0.157.1282.1282.full.jpg,N,Y,['Rittenhouse Square'],11:00 AM - 3:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,4:00 PM - 10:00 PM,,3.5,33.0,58.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",Vegetarian Options,"Classy, Romantic, Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,,,Alcohol,"TV, Wi-Fi",,,
La Viola Bistro,la-viola-philadelphia,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#la-viola-bistro,"Participating in lunch, dinner and takeout. Offering indoor and outdoor dining. BYOB.",$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/clly1pvr0bdz2saqd4xbh5zs6-lavioladinner.pdf,https://www.opentable.com/restaurant/profile/224086/reserve?ref=9169,"253 S 16th St, Philadelphia, PA 19102",39.94778635,-75.1677798,http://laviolaphiladelphia.com,['Italian'],$$,556.0,https://centercityphila.org/uploads/attachments/cksudwvx81gpdlxqdgq7coqxc-laviola-bistro.215.0.853.853.full.jpg,N,Y,['Rittenhouse Square'],Closed,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,5:00 PM - 11:00 PM,4:00 PM - 10:00 PM,,3.7,38.0,60.0,"Street Parking, Bike Parking",,,,Dinner,"Offers Delivery, Offers Takeout",Vegetarian Options,"Classy, Casual, Loud",,,,Takes Reservations,Outdoor Seating,,,Alcohol,"TV, Wi-Fi",,,
Lacroix,lacroix-at-the-rittenhouse-philadelphia-2,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#lacroix,"Participating in dinner only. Offering indoor dining. Closed Monday, Tuesday, and Wednesday.",$60 DINNER,https://centercityphila.org/uploads/attachments/cllux0tnsb7a7omqdchcf2o4i-lacroix.pdf,https://www.opentable.com/r/lacroix,"210 West Rittenhouse Square, Philadelphia, PA 19103",39.9498637,-75.1734752,https://www.lacroixrestaurant.com,['American (New)'],$$$$,464.0,https://www.lacroixrestaurant.com/resourcefiles/homeimages/lacroixmaindining.jpg?version=9152023140959,N,Y,['Rittenhouse Square'],6:30 AM - 10:00 PM,6:30 AM - 10:00 PM,6:30 AM - 10:00 AM,6:30 AM - 10:00 AM,6:30 AM - 10:00 AM,6:30 AM - 10:00 AM,6:30 AM - 10:00 AM,,4.3,84.0,74.0,"Bike Parking, Valet Parking",,Credit Cards,,Dinner,Offers Delivery,"Vegan Options, Vegetarian Options","Classy, Upscale, Quiet",,,,Takes Reservations,,,,"Happy Hour, Full Bar","TV, Wi-Fi",,,
Ladder 15,ladder-15-philadelphia,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#ladder-15,"Hornitos Paloma
Surfside","Pinot Grigio
Pinot Noir","Corona
White Claw","Cheesesteak springrolls
Hummus",,,,,,"1528 Sansom St, Philadelphia, PA 19102",39.95027665,-75.16695388,http://www.ladder15philly.com,['American (New)'],$$,335.0,https://centercityphila.org/uploads/attachments/cj335cayj002qpjqdwrfp3f7x-4fca22-0235596db30444abb2cafa12607e0074.108.0.471.471.full.jpg,Y,N,"['Penn Center', 'Rittenhouse Square']",Closed,4:00 PM - 11:00 PM,4:00 PM - 2:00 AM,4:00 PM - 2:00 AM,4:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 8:00 PM,,2.8,20.0,56.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",,"Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,,,"Happy Hour, Full Bar","TV, Wi-Fi",,,
Landmark Americana Tap & Grill - University City,landmark-americana-tap-and-grill-university-city-philadelphia,,,,,,,,,,https://resy.com/cities/pha/landmark-americana-university-city,"3333 Market St, Philadelphia, PA 19104",39.95595866,-75.19065067,http://www.landmarkamericana.com/ph-home,"['American (New)', 'Sports Bars']",$$,434.0,,N,N,"['Powelton Village', 'University City']",12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 10:00 PM,,2.9,22.0,40.0,"Street Parking, Bike Parking","Tuesday, Thursday, Saturday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",Vegetarian Options,"Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi",,,
Lark,lark-bala-cynwyd,,,,,,,,,,https://resy.com/cities/pha/lark-bala-cynwyd,"611 Righters Ferry Rd, Bala Cynwyd, PA 19004",40.01565118,-75.21440974,https://www.larkpa.com,"['American (New)', 'Beer Bar', 'Cocktail Bars']",$$$,123.0,,N,N,,Closed,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,4:30 PM - 9:00 PM,,4.2,64.0,44.0,"Garage Parking, Private Lot Parking",Saturday,,,Dinner,,,"Classy, Upscale, Dressy, Moderate Noise",,,,Takes Reservations,,,,Full Bar,EV charging station available,,,
Larry's Steaks,larrys-steaks-philadelphia-3,,,,,,,,,,,"920 W Girard Ave, Philadelphia, PA 19123",39.9702412,-75.15179064,http://www.larryssteaks.com,"['Pizza', 'Cheesesteaks', 'Sandwiches']",$$,89.0,,N,N,,10:00 AM - 10:30 PM,10:00 AM - 10:30 PM,10:00 AM - 10:30 PM,10:00 AM - 10:30 PM,10:00 AM - 10:30 PM,10:00 AM - 10:30 PM,11:00 AM - 10:30 PM,,2.8,19.0,21.0,"Street Parking, Bike Parking, Private Lot Parking",,"Credit Cards, Apple Pay",,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,"Classy, Divey, Moderate Noise",,,,Takes Reservations,Outdoor Seating,Dinner,,Alcohol,"TV, Wi-Fi",,,
Las Bugambilias,las-bugambilias-philadelphia,,,,,,,,,,https://reserve.spoton.com/web/restaurant.html?restaurantId=66425&source=header&spot_id=9679&destination=reservations&promotion=easter,"15 S 3rd St, Philadelphia, PA 19106",39.949616,-75.145538,http://lasbugambiliasphilly.com/,['Mexican'],$$,449.0,,N,N,['Old City'],3:00 PM - 9:00 PM,3:00 PM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 10:00 PM,10:00 AM - 11:00 PM,10:00 AM - 11:00 PM,10:00 AM - 10:00 PM,,4.0,43.0,51.0,"Street Parking, Bike Parking",,Credit Cards,"Women-owned, Latinx-owned",Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegan Options,"Casual, Moderate Noise",Open to All,,,Takes Reservations,"Outdoor Seating, Drive-Thru",,,"Happy Hour, Full Bar","TV, Wi-Fi",,,
